,generation,robot,distance,structure,is_feasible_design
0,0,1,0.000500723,"[1 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1
 2 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1
 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 2
 2 2 2 1 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 1 1 2 2
 2 2 1 1 2 2 2 2 1 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 2 1 1 2 2 2
 2 1 1 2 2 2 2 1 1 2 2 2 2 1 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 2]",YES
1,0,2,7.39674,"[0 4 4 4 4 4 0 0 4 4 4 4 1 1 4 4 4 4 1 1 1 4 4 4 1 1 1 1 4 4 1 1 1 1 1 4 0
 0 4 4 4 4 0 0 0 4 4 4 0 0 0 4 4 4 1 1 1 4 4 4 1 1 1 1 4 4 1 1 1 1 1 4 0 0
 0 4 4 4 0 0 0 4 4 4 0 0 0 0 4 4 3 0 0 0 4 4 1 1 1 1 4 4 1 1 1 1 1 4 0 0 0
 0 4 4 0 0 0 0 4 4 0 0 0 0 0 4 0 0 0 0 0 4 1 1 0 0 0 4 1 1 1 1 1 1 0 0 0 0
 0 4 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 0 0 0 0]",YES
2,0,3,6.61858,"[3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 1
 1 4 4 4 4 3 4 4 4 4 4 3 4 4 4 4 4 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 1 1
 1 1 4 4 1 1 1 4 4 4 1 1 4 4 4 4 3 4 4 4 4 4 3 4 4 4 4 4 3 4 4 4 4 4 1 1 1
 1 1 2 1 1 1 1 1 4 1 1 1 1 4 4 1 1 1 4 4 4 1 1 4 4 4 4 3 4 4 4 4 4 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 1 1 1 1 4 4 1 1 1 4 4 4 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4]",YES
3,0,4,9.91197,"[2 2 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4
 4 3 3 3 3 4 4 3 3 3 3 4 4 3 3 3 3 4 4 3 3 3 3 4 4 3 3 3 3 4 4 3 3 3 3 4 4
 4 3 3 3 4 4 4 3 3 3 4 4 4 3 3 3 4 4 4 3 3 3 4 4 4 3 3 3 4 4 4 3 3 3 4 4 4
 1 1 1 4 4 4 1 1 3 4 4 4 4 3 3 4 4 4 4 3 3 4 4 4 4 3 3 4 4 4 3 3 3 4 4 0 0
 1 1 4 4 4 4 1 1 4 4 4 4 1 1 4 4 4 4 4 3 4 4 4 4 3 3 4 4 4 4 3 3 4 0 0 0 0
 1 4 4 4 0 0 1 4 4 4 4 4 1 4 4 4 4 4 1 4 4 4 4 4 1 4 4 4 4 4 3]",YES
4,0,5,0.0984727,"[4 0 0 1 1 1 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4
 0 0 0 1 1 4 0 0 0 0 0 4 0 0 0 0 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 4
 0 0 0 0 4 4 0 0 0 0 4 0 0 0 0 0 4 0 0 0 0 0 2 2 2 2 0 0 2 2 2 2 2 2 4 4 0
 0 0 0 4 4 0 0 0 0 4 4 0 0 0 0 4 4 0 0 0 0 4 0 0 0 0 0 4 0 0 0 0 0 4 4 4 0
 0 0 4 4 4 0 0 0 4 4 0 0 0 0 4 4 0 0 0 0 4 4 0 0 0 0 4 0 0 0 0 0 4 4 4 0 0
 0 4 4 4 0 0 0 4 4 4 0 0 0 4 4 0 0 0 0 4 4 0 0 0 0 4 4 0 0 0 0]",YES
5,0,6,0.000838873,"[3 0 0 0 0 0 1 3 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 1 1 1 0 0 0 1 1 1 1 0 0 1
 1 0 0 0 0 1 1 1 0 0 0 1 1 1 0 0 0 1 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 0 1 1
 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]",YES
6,0,7,7.55691,"[1 1 1 1 1 1 3 3 3 1 1 1 3 3 3 3 3 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4
 1 1 1 1 1 4 4 1 1 1 1 4 3 3 3 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4
 4 1 1 1 4 4 4 1 1 1 4 4 4 4 1 1 4 4 3 3 3 3 4 3 3 3 3 3 3 3 3 3 3 3 4 4 4
 4 1 1 4 4 4 4 4 1 4 4 4 4 4 1 4 4 4 4 4 3 4 4 4 4 3 3 4 4 4 3 3 3 4 4 4 4
 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]",YES
7,0,8,0.00347648,"[1 0 4 4 4 4 1 0 4 4 4 4 1 0 0 4 4 4 1 1 0 0 4 4 1 1 2 0 4 4 1 1 2 2 0 4 1
 2 2 4 4 4 1 2 2 4 4 4 1 2 2 2 4 4 1 2 2 2 2 4 1 2 2 2 2 2 1 2 2 2 2 2 2 2
 2 2 4 4 2 2 2 2 2 4 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2]",YES
8,0,9,1.93612,"[4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3
 4 4 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3
 4 4 0 0 3 3 3 0 0 0 3 3 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 3
 3 4 0 3 3 3 3 0 0 3 3 3 0 0 0 3 3 3 0 0 0 3 3 0 0 0 0 3 0 0 0 0 0 3 3 3 3
 3 3 3 3 3 3 3 3 3 3 3 3 3 0 3 3 3 3 0 0 3 3 3 0 0 0 3 3 3 0 0 0 3 3 3 3 3
 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 0 3 3 3 3 0 0]",YES
9,0,10,0.247162,"[1 1 1 1 1 3 0 3 3 3 3 3 0 3 3 3 3 3 0 3 3 3 3 3 0 3 3 3 3 3 0 3 3 3 3 3 1
 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 3 3 0 3 3 3 3 3 0 3 3 3 3 3 0 3 3 3 3 3 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 3 3 0 3 3 3 3 3 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]",YES
